iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"34,235,870,069.89"
Shares Outstanding,"457,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NWN","NORTHWEST NATURAL GAS","Equity","0.25","66.35","1,286,902.00","85,385,947.70","85,385,947.70","Utilities","2649586","US6676551046","New York Stock Exchange Inc."
"MDR","MCDERMOTT INTERNATIONAL INC","Equity","0.25","6.62","12,747,148.00","84,386,119.76","84,386,119.76","Energy","2550310","PA5800371096","New York Stock Exchange Inc."
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Equity","0.25","67.40","1,248,275.00","84,133,735.00","84,133,735.00","Industrials","2943620","US9427491025","New York Stock Exchange Inc."
"MTH","MERITAGE CORP","Equity","0.24","48.70","1,714,445.00","83,493,471.50","83,493,471.50","Consumer Discretionary","2601326","US59001A1025","New York Stock Exchange Inc."
"IRBT","IROBOT CORP","Equity","0.24","67.19","1,242,183.00","83,462,275.77","83,462,275.77","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"LTC","LTC PROPERTIES REIT INC","Equity","0.24","46.51","1,792,202.00","83,355,315.02","83,355,315.02","Real Estate","2498788","US5021751020","New York Stock Exchange Inc."
"OMCL","OMNICELL INC","Equity","0.24","49.80","1,663,568.00","82,845,686.40","82,845,686.40","Health Care","2789523","US68213N1090","NASDAQ"
"SFBS","SERVISFIRST BANCSHARES INC","Equity","0.24","41.01","2,019,681.00","82,827,117.81","82,827,117.81","Financials","BMH0MP5","US81768T1088","NASDAQ"
"MDCO","MEDICINES","Equity","0.24","28.74","2,869,331.00","82,464,572.94","82,464,572.94","Health Care","2616773","US5846881051","NASDAQ"
"BRC","BRADY CORP CLASS A","Equity","0.24","38.05","2,143,771.00","81,570,486.55","81,570,486.55","Industrials","2117726","US1046741062","New York Stock Exchange Inc."
"NPO","ENPRO INDUSTRIES INC","Equity","0.24","83.74","966,508.00","80,935,379.92","80,935,379.92","Industrials","2951292","US29355X1072","New York Stock Exchange Inc."
"HA","HAWAIIAN HOLDINGS INC","Equity","0.24","33.50","2,404,302.00","80,544,117.00","80,544,117.00","Industrials","2408044","US4198791018","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.23","43.80","1,837,824.00","80,496,691.20","80,496,691.20","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"CPS","COOPER STANDARD HOLDINGS INC","Equity","0.23","111.48","721,290.00","80,409,409.20","80,409,409.20","Consumer Discretionary","B51JS17","US21676P1030","New York Stock Exchange Inc."
"ABCB","AMERIS BANCORP","Equity","0.23","47.90","1,677,810.00","80,367,099.00","80,367,099.00","Financials","2038849","US03076K1088","NASDAQ"
"NSP","INSPERITY INC","Equity","0.23","94.90","838,438.00","79,567,766.20","79,567,766.20","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"PENN","PENN NATIONAL GAMING INC","Equity","0.23","26.09","3,032,595.00","79,120,403.55","79,120,403.55","Consumer Discretionary","2682105","US7075691094","NASDAQ"
"FELE","FRANKLIN ELECTRIC INC","Equity","0.23","45.50","1,733,919.00","78,893,314.50","78,893,314.50","Industrials","2350383","US3535141028","NASDAQ"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Equity","0.23","60.35","1,305,991.00","78,816,556.85","78,816,556.85","Industrials","2012757","US0123481089","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.23","29.51","2,656,359.00","78,389,154.09","78,389,154.09","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"NWBI","NORTHWEST BANCSHARES INC","Equity","0.23","16.87","4,644,870.00","78,358,956.90","78,358,956.90","Financials","B523Z73","US6673401039","NASDAQ"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINA","Equity","0.23","18.07","4,331,396.00","78,268,325.72","78,268,325.72","Financials","B4JTYX6","US03762U1051","New York Stock Exchange Inc."
"FLOW","SPX FLOW INC","Equity","0.23","41.23","1,894,842.00","78,124,335.66","78,124,335.66","Industrials","BYMN2T7","US78469X1072","New York Stock Exchange Inc."
"FWRD","FORWARD AIR CORP","Equity","0.23","57.44","1,356,415.00","77,912,477.60","77,912,477.60","Industrials","2510790","US3498531017","NASDAQ"
"MEI","METHODE ELECTRONICS INC","Equity","0.23","46.90","1,652,212.00","77,488,742.80","77,488,742.80","Information Technology","2583297","US5915202007","New York Stock Exchange Inc."
"HSC","HARSCO CORP","Equity","0.22","21.25","3,621,870.00","76,964,737.50","76,964,737.50","Industrials","2412700","US4158641070","New York Stock Exchange Inc."
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.22","27.30","2,808,566.00","76,673,851.80","76,673,851.80","Financials","2352806","US3202091092","NASDAQ"
"FCN","FTI CONSULTING INC","Equity","0.22","42.75","1,786,934.00","76,391,428.50","76,391,428.50","Industrials","2351449","US3029411093","New York Stock Exchange Inc."
"RH","RH","Equity","0.22","89.92","849,444.00","76,382,004.48","76,382,004.48","Consumer Discretionary","BYXR425","US74967X1037","New York Stock Exchange Inc."
"ALGT","ALLEGIANT TRAVEL","Equity","0.22","136.40","556,221.00","75,868,544.40","75,868,544.40","Industrials","B15M2C3","US01748X1028","NASDAQ"
"CHSP","CHESAPEAKE LODGING TRUST REIT TRUS","Equity","0.22","27.90","2,710,524.00","75,623,619.60","75,623,619.60","Real Estate","B4TC8L1","US1652401027","New York Stock Exchange Inc."
"VG","VONAGE HOLDINGS CORP","Equity","0.22","8.13","9,254,293.00","75,237,402.09","75,237,402.09","Telecommunications","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"NBTB","NBT BANCORP INC","Equity","0.22","38.14","1,972,485.00","75,230,577.90","75,230,577.90","Financials","2626459","US6287781024","NASDAQ"
"INGN","INOGEN INC","Equity","0.22","98.93","756,587.00","74,849,151.91","74,849,151.91","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"KALU","KAISER ALUMINIUM CORP","Equity","0.22","99.18","753,644.00","74,746,411.92","74,746,411.92","Materials","B15CJ33","US4830077040","NASDAQ"
"INN","SUMMIT HOTEL PROPERTIES REIT INC","Equity","0.22","15.81","4,721,636.00","74,649,065.16","74,649,065.16","Real Estate","B3M7R64","US8660821005","New York Stock Exchange Inc."
"PFS","PROVIDENT FINANCIAL SERVICES INC","Equity","0.22","27.20","2,741,060.00","74,556,832.00","74,556,832.00","Financials","2171603","US74386T1051","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.22","52.90","1,402,665.00","74,200,978.50","74,200,978.50","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"SPPI","SPECTRUM PHARMACEUTICALS INC","Equity","0.22","19.59","3,786,521.00","74,177,946.39","74,177,946.39","Health Care","2982924","US84763A1088","NASDAQ"
"FIX","COMFORT SYSTEMS USA INC","Equity","0.22","44.30","1,673,844.00","74,151,289.20","74,151,289.20","Industrials","2036047","US1999081045","New York Stock Exchange Inc."
